# srcdslab GitHub org - full repository list (293 repos) enumerated 2026-08-19 from https://github.com/orgs/srcdslab/repositories?page=N&type=all
# Columns: name | last updated | description
# grep for match|pug|mix|war|ready|knife|scrim|competitive|deathmatch|gungame|respawn|restrict|retake: NO match/PUG/mix repo exists (hits are KnifeMode, KnockbackRestrict, TeamManager(warmup), WeaponCleaner, BotManager, etc.)

sm-plugin-HideKnife | 2026-08-18T12:33:08.933Z | Makes the knives being held by zombies disappear so they don't look like gangsta muggers
sm-plugin-HideTeammates | 2026-08-18T12:25:52.554Z | Hide players based on individual distances
sm-plugin-HitMarker | 2026-08-18T12:24:08.483Z | Display a hitmarker when you hit a target
sm-plugin-HitboxChanger | 2026-08-18T12:34:24.619Z | Sourcemod extension to modify model hitboxes from memory
sm-plugin-KnifeAlert | 2024-01-14T14:29:07.093Z | Player knife notification system
sm-plugin-KnifeMode | 2026-08-18T12:45:45.928Z | Kill players with knife
sm-plugin-KnockbackRestrict | 2026-08-18T12:35:18.298Z | Restrict players from using knockback weapons
sm-plugin-KnockbackRestrict-discord | 2026-08-18T12:43:52.558Z | KnockbackRestrict notifications to discord
sm-plugin-LagCompensation | 2026-08-18T12:39:53.024Z | 
sm-plugin-LagReducer | 2025-05-07T08:59:56.866Z | Natives to reduce server load of heavy plugins
sm-plugin-Laser | 2026-08-18T12:24:37.157Z | Throw lasers
sm-plugin-Leader | 2023-03-22T19:56:57.469Z | 
sm-plugin-LogHelper | 2026-08-18T12:36:11.784Z | Helper functions related to logs
sm-plugin-MVPStars | 2026-08-18T12:08:07.691Z | Add a star for players that won the previous round
sm-plugin-MakoVote | 2025-06-07T14:53:27.476Z | Vote system for ze_ffvii_mako_reactor
sm-plugin-MapNotification | 2026-08-18T12:45:09.789Z | Send map notifications to discord
sm-plugin-MovementUnlocker | 2022-08-21T13:22:56.331Z | Remove max speed limitation from players on the ground
sm-plugin-MultiColors | 2026-08-18T12:36:53.826Z |  Multi Colors (based on Stamm-Colors) is a summary of Colors and More Colors. Depending on the game More Colors will be used as default. Should the game be CS:G…
sm-plugin-MusicName | 2026-08-18T20:15:51.526Z | Plugin that hooks into map sounds and displays names of music based on a configuration file.
sm-plugin-NameFilter | 2026-08-18T12:46:00.275Z | Filters bad player names
sm-plugin-NextmapVoteDisabler | 2022-08-21T13:21:58.744Z | Disable in-game map vote when mp_endmatch_votenextmap is set to 0
sm-plugin-NoAloneInfectionNoArmor | 2026-08-18T12:38:09.407Z | Control minimum number of players to start zr infection cycle
sm-plugin-NoBlock | 2026-08-18T12:47:57.392Z | Remove collision from players and grenades
sm-plugin-NoBlood | 2026-08-18T12:38:49.489Z | Hide blood
sm-plugin-NoGrenadeRinging | 2026-08-18T12:47:54.088Z | Block ringing noises when a grenade explodes next to you
sm-plugin-NoShake | 2026-08-18T15:20:51.121Z | Disable env_shake
sm-plugin-Parachute | 2026-08-18T12:37:07.998Z | Adds a parachute with low gravity when you hold the use key
sm-plugin-ParticleAutoPrecacher | 2022-08-21T13:19:19.518Z | Precache particle system on a per-map manifest
sm-plugin-ParticleStringTableExpander | 2026-08-18T12:34:25.898Z | Network particle string table expander
sm-plugin-PlayerManager | 2026-08-18T12:34:55.233Z | Manage undesired players
sm-plugin-PlayerVisibility | 2026-08-18T12:40:30.805Z | Fade players away when you get close to them
sm-plugin-PotcVote | 2026-08-18T12:35:21.659Z | Vote system for ze_potc
sm-plugin-Prop | 2026-08-18T12:35:49.150Z | Buy props, show their health and more
sm-plugin-PropWatch | 2026-08-18T12:47:27.551Z | Manage players shooting teammate props
sm-plugin-ProxyKiller | 2026-08-18T12:45:27.621Z | Expose natives to detect players using proxies and VPNs
sm-plugin-ProxyKiller-Discord | 2026-08-18T12:27:37.343Z | Sends VPN flagged players info to discord
sm-plugin-QuakeSounds | 2026-08-18T12:08:16.317Z | Play sounds based on game events
sm-plugin-QuickSwitch | 2026-08-18T12:47:05.086Z | Switch to your knife without delay
sm-plugin-RadioMute | 2023-11-19T14:08:14.387Z | Mute player radio
sm-plugin-RadioSpamBlock | 2026-08-18T12:27:18.732Z | Block players spamming radio
sm-plugin-RelayHelper | 2026-08-18T12:37:28.045Z | Relay helper mainly used for discord
sm-plugin-RemoveCashMessages | 2022-08-21T13:22:13.443Z | Remove all cash and points messages from chat
sm-plugin-RenderDistance | 2026-08-18T12:47:39.198Z | Sets entities render distance for each player
sm-plugin-ReservedSlot | 2026-08-18T12:47:26.633Z | Allow specific group of players to have reserved slots
sm-plugin-ResetScore | 2026-08-18T12:26:43.020Z | Reset player score
sm-plugin-RoundTime | 2026-08-18T12:27:59.380Z | Remove mp_roundtime limits
sm-plugin-SMAC | 2026-08-18T12:48:04.648Z | Sourcemod Anti-Cheat
sm-plugin-SMJSONAPI | 2026-08-18T12:47:06.677Z | Sourcemod JSON API
sm-plugin-SMTextReplace | 2026-08-18T12:28:28.065Z | Customise default sourcemod tag
sm-plugin-SaveLevel | 2026-08-18T12:26:35.071Z | Saves players level on maps when they disconnect and restore them on connect
sm-plugin-SelectiveBhop | 2026-08-18T12:25:57.434Z | Disable bunnyhop of specific players
sm-plugin-SelfMute | 2026-08-18T12:24:11.535Z | Selfmute other players
sm-plugin-SelfMuteRadio | 2026-08-18T12:27:05.376Z | Selfmute player radio
sm-plugin-ServerAdvertisements | 2026-08-18T12:24:29.338Z | Adverstise messages to players.
sm-plugin-ServerCommandFilter | 2026-08-18T12:35:50.689Z | Filters point_servercommand->Command() using user-defined rules to restrict maps.
sm-plugin-Shop-Core | 2026-08-18T12:40:27.033Z | An advanced in game market
sm-plugin-Shop_Aura | 2026-08-18T12:28:46.206Z | 
sm-plugin-Shop_Chat | 2026-08-18T12:27:33.221Z | 
sm-plugin-Shop_CreditsDistributor | 2026-08-18T12:25:04.470Z | 
